id,label_en,label_ar,href,icon,level,parent_id,display_order,is_visible,is_featured,description_en,description_ar,page_title_en,page_title_ar,meta_description_en,meta_description_ar,created_at,updated_at
192e7780-4883-45b0-8010-2775ee192ae1,Impact Stories,قصص الأثر,/donate/impact-stories,,2,ff93c3e4-f245-429b-b4a1-eff8b7519a6d,2,true,false,How your donations make a difference,كيف تحدث تبرعاتك فرقاً,Impact Stories - OIA Academy Edmonton,قصص الأثر - أكاديمية عمر بن الخطاب إدمنتون,,,2025-11-09 17:00:19.756208+00,2025-11-09 17:00:19.756208+00
20985b6a-54ad-4199-8537-7ca36f9582ce,Contact Form,نموذج الاتصال,/contact/form,,2,a470aaa5-3a13-48f3-aaa5-64b6549f408b,1,true,false,Send us a message,أرسل لنا رسالة,Contact Form - OIA Academy Edmonton,نموذج الاتصال - أكاديمية عمر بن الخطاب إدمنتون,,,2025-11-09 17:00:19.756208+00,2025-11-09 17:00:19.756208+00
25a6a0ca-f242-49ce-992f-b76553b14619,Support the Project (Donate),ادعم المشروع (تبرع),/new-centre/support,,2,936ed888-db3e-467b-9aab-dca1adaf80b5,3,true,true,Help fund our new centre,ساعد في تمويل مركزنا الجديد,Support the Project (Donate) - OIA Academy Edmonton,ادعم المشروع (تبرع) - أكاديمية عمر بن الخطاب إدمنتون,,,2025-11-09 17:00:19.756208+00,2025-11-09 17:00:19.756208+00
29bf23dc-c7e4-4c6d-a67e-a83029852888,Office Hours,ساعات العمل,/contact/hours,,2,a470aaa5-3a13-48f3-aaa5-64b6549f408b,3,true,false,When we are available,متى نكون متاحين,Office Hours - OIA Academy Edmonton,ساعات العمل - أكاديمية عمر بن الخطاب إدمنتون,,,2025-11-09 17:00:19.756208+00,2025-11-09 17:00:19.756208+00
29d7e83e-3d06-4fe4-bb0a-8d6b0edf4e98,Careers / Join Our Team,الوظائف / انضم إلى فريقنا,/about-us/careers,,2,58168c5d-dd0b-475c-a3ae-4e5f2ccde6d3,5,true,false,Employment opportunities at OIA Academy,فرص العمل في أكاديمية عمر بن الخطاب,Careers / Join Our Team - OIA Academy Edmonton,الوظائف / انضم إلى فريقنا - أكاديمية عمر بن الخطاب إدمنتون,,,2025-11-09 17:00:19.756208+00,2025-11-09 17:00:19.756208+00
33c90a58-ea25-46ac-8fa9-96084c7147e0,Why Choose Us,لماذا تختارنا,/admissions/why-choose-us,,2,ffb4c1c1-c100-4593-9ac6-d09f664c9c94,1,true,false,What makes OIA Academy special,ما الذي يجعل أكاديمية عمر بن الخطاب مميزة,Why Choose Us - OIA Academy Edmonton,لماذا تختارنا - أكاديمية عمر بن الخطاب إدمنتون,,,2025-11-09 17:00:19.756208+00,2025-11-09 17:00:19.756208+00
347a469c-774f-448f-b7a0-0e800ab374c9,Request a Tour / Enquiry,اطلب جولة / استفسار,/admissions/tour-enquiry,,2,ffb4c1c1-c100-4593-9ac6-d09f664c9c94,5,true,true,Schedule a visit to our campus,جدولة زيارة إلى حرمنا الجامعي,Request a Tour / Enquiry - OIA Academy Edmonton,اطلب جولة / استفسار - أكاديمية عمر بن الخطاب إدمنتون,,,2025-11-09 17:00:19.756208+00,2025-11-09 17:00:19.756208+00
353fdbeb-b375-482d-a597-f8ec8fdb08e9,Elementary / Middle / High School,الابتدائية / المتوسطة / الثانوية,/academics/grade-levels,,2,78e60cde-49a5-4786-8a29-9ab06d622f02,2,true,false,Programs by grade level,البرامج حسب المستوى الدراسي,Elementary / Middle / High School - OIA Academy Edmonton,الابتدائية / المتوسطة / الثانوية - أكاديمية عمر بن الخطاب إدمنتون,,,2025-11-09 17:00:19.756208+00,2025-11-09 17:00:19.756208+00
448b13cc-69f3-4817-a052-0b323076edcd,Announcements,الإعلانات,/news-events/announcements,,2,d97a2103-6c8a-4713-bd20-45e1d2eb7dfc,1,true,false,Latest school announcements,آخر إعلانات المدرسة,Announcements - OIA Academy Edmonton,الإعلانات - أكاديمية عمر بن الخطاب إدمنتون,,,2025-11-09 17:00:19.756208+00,2025-11-09 17:00:19.756208+00
45f00241-809e-44f6-8e6d-287ed1d9bd25,Programs Overview,نظرة عامة على البرامج,/academics/programs-overview,,2,78e60cde-49a5-4786-8a29-9ab06d622f02,1,true,false,All our academic programs at a glance,جميع برامجنا الأكاديمية في لمحة,Programs Overview - OIA Academy Edmonton,نظرة عامة على البرامج - أكاديمية عمر بن الخطاب إدمنتون,,,2025-11-09 17:00:19.756208+00,2025-11-09 17:00:19.756208+00
4690053f-082d-451f-a306-abd47c4ef243,Our Board,مجلس الإدارة,/about-us/board,,2,58168c5d-dd0b-475c-a3ae-4e5f2ccde6d3,3,true,false,Meet our board of directors,تعرف على مجلس إدارتنا,Our Board - OIA Academy Edmonton,مجلس الإدارة - أكاديمية عمر بن الخطاب إدمنتون,,,2025-11-09 17:00:19.756208+00,2025-11-09 17:00:19.756208+00
58168c5d-dd0b-475c-a3ae-4e5f2ccde6d3,About Us,معلومات عنا,/about-us,📘,1,,2,true,false,"Learn about our mission, values, and team",تعرف على مهمتنا وقيمنا وفريقنا,About Us - OIA Academy Edmonton,معلومات عنا - أكاديمية عمر بن الخطاب إدمنتون,"Learn about OIA Academy's mission, vision, history, and dedicated team",تعرف على رسالة ورؤية وتاريخ أكاديمية عمر بن الخطاب وفريقها المخلص,2025-11-09 17:00:19.611772+00,2025-11-09 17:00:19.611772+00
78c87f19-a03b-40f2-beaa-c16111e48de6,Location / Map,الموقع / الخريطة,/contact/location,,2,a470aaa5-3a13-48f3-aaa5-64b6549f408b,2,true,false,Find us on the map,اعثر علينا على الخريطة,Location / Map - OIA Academy Edmonton,الموقع / الخريطة - أكاديمية عمر بن الخطاب إدمنتون,,,2025-11-09 17:00:19.756208+00,2025-11-09 17:00:19.756208+00
78e60cde-49a5-4786-8a29-9ab06d622f02,Academics,الأكاديميات,/academics,📚,1,,4,true,false,"Our curriculum, programs, and educational approach",منهجنا وبرامجنا ونهجنا التعليمي,Academics - OIA Academy Edmonton,الأكاديميات - أكاديمية عمر بن الخطاب إدمنتون,Explore our comprehensive academic programs and Islamic curriculum,استكشف برامجنا الأكاديمية الشاملة ومنهجنا الإسلامي,2025-11-09 17:00:19.611772+00,2025-11-09 17:00:19.611772+00
7cee2e4b-a2c0-4ce7-9e87-91352acdc875,Volunteer Opportunities,فرص التطوع,/donate/volunteer,,2,ff93c3e4-f245-429b-b4a1-eff8b7519a6d,3,true,false,Give your time and skills,تبرع بوقتك ومهاراتك,Volunteer Opportunities - OIA Academy Edmonton,فرص التطوع - أكاديمية عمر بن الخطاب إدمنتون,,,2025-11-09 17:00:19.756208+00,2025-11-09 17:00:19.756208+00
7d2e8919-0963-4f5b-af65-50c7845070ad,Our Story,قصتنا,/about-us/our-story,,2,58168c5d-dd0b-475c-a3ae-4e5f2ccde6d3,2,true,false,The history and founding of OIA Academy,تاريخ وتأسيس أكاديمية عمر بن الخطاب,Our Story - OIA Academy Edmonton,قصتنا - أكاديمية عمر بن الخطاب إدمنتون,,,2025-11-09 17:00:19.756208+00,2025-11-09 17:00:19.756208+00
8045b25d-0aeb-42cb-aee1-d67d60940f24,Home,الرئيسية,/,🏠,1,,1,true,false,,,Home - OIA Academy Edmonton,الرئيسية - أكاديمية عمر بن الخطاب إدمنتون,Welcome to OIA Academy Edmonton - Providing quality Islamic education,مرحبا بكم في أكاديمية عمر بن الخطاب إدمنتون - نقدم تعليماً إسلامياً عالي الجودة,2025-11-09 17:00:19.611772+00,2025-11-09 17:00:19.611772+00
81b14a8f-b141-4d6d-906c-7c4f5e94390f,Ways to Give,طرق التبرع,/donate/ways-to-give,,2,ff93c3e4-f245-429b-b4a1-eff8b7519a6d,1,true,false,Different donation options available,خيارات التبرع المختلفة المتاحة,Ways to Give - OIA Academy Edmonton,طرق التبرع - أكاديمية عمر بن الخطاب إدمنتون,,,2025-11-09 17:00:19.756208+00,2025-11-09 17:00:19.756208+00
83773a93-3c1d-40b4-b1fd-a344c3a37830,Photo Gallery / Media,معرض الصور / الوسائط,/news-events/gallery,,2,d97a2103-6c8a-4713-bd20-45e1d2eb7dfc,3,true,false,Photos and videos from school events,الصور ومقاطع الفيديو من فعاليات المدرسة,Photo Gallery / Media - OIA Academy Edmonton,معرض الصور / الوسائط - أكاديمية عمر بن الخطاب إدمنتون,,,2025-11-09 17:00:19.756208+00,2025-11-09 17:00:19.756208+00
8d369380-f39a-4019-9e3f-ee25ce8b6fd3,Our Staff & Faculty,موظفونا وهيئة التدريس,/about-us/staff-faculty,,2,58168c5d-dd0b-475c-a3ae-4e5f2ccde6d3,4,true,false,Our dedicated educators and staff,معلمونا وموظفونا المخلصون,Our Staff & Faculty - OIA Academy Edmonton,موظفونا وهيئة التدريس - أكاديمية عمر بن الخطاب إدمنتون,,,2025-11-09 17:00:19.756208+00,2025-11-09 17:00:19.756208+00
936ed888-db3e-467b-9aab-dca1adaf80b5,New Centre,المركز الجديد,/new-centre,🏗️,1,,6,true,true,Our new facility construction project,مشروع بناء منشأتنا الجديدة,New Centre Project - OIA Academy Edmonton,مشروع المركز الجديد - أكاديمية عمر بن الخطاب إدمنتون,Learn about our new centre construction project and how you can support,تعرف على مشروع بناء مركزنا الجديد وكيف يمكنك الدعم,2025-11-09 17:00:19.611772+00,2025-11-09 17:00:19.611772+00
9b683846-abd7-47b6-b3ca-23b05603bc17,Islamic Studies Curriculum,منهج الدراسات الإسلامية,/academics/islamic-curriculum,,2,78e60cde-49a5-4786-8a29-9ab06d622f02,3,true,false,"Quran, Hadith, Arabic, and Islamic studies",القرآن والحديث والعربية والدراسات الإسلامية,Islamic Studies Curriculum - OIA Academy Edmonton,منهج الدراسات الإسلامية - أكاديمية عمر بن الخطاب إدمنتون,,,2025-11-09 17:00:19.756208+00,2025-11-09 17:00:19.756208+00
9c730b18-124a-4052-a151-013473e2b705,School Calendar,التقويم المدرسي,/news-events/calendar,,2,d97a2103-6c8a-4713-bd20-45e1d2eb7dfc,2,true,false,Important dates and events,التواريخ والأحداث المهمة,School Calendar - OIA Academy Edmonton,التقويم المدرسي - أكاديمية عمر بن الخطاب إدمنتون,,,2025-11-09 17:00:19.756208+00,2025-11-09 17:00:19.756208+00
a09835f3-fe3b-41fe-8ee3-1fca3f49b87f,Application Process,عملية التقديم,/admissions/application-process,,2,ffb4c1c1-c100-4593-9ac6-d09f664c9c94,2,true,false,Step-by-step enrollment guide,دليل التسجيل خطوة بخطوة,Application Process - OIA Academy Edmonton,عملية التقديم - أكاديمية عمر بن الخطاب إدمنتون,,,2025-11-09 17:00:19.756208+00,2025-11-09 17:00:19.756208+00
a470aaa5-3a13-48f3-aaa5-64b6549f408b,Contact Us,اتصل بنا,/contact,📞,1,,8,true,false,Get in touch with our team,تواصل مع فريقنا,Contact Us - OIA Academy Edmonton,اتصل بنا - أكاديمية عمر بن الخطاب إدمنتون,"Contact OIA Academy Edmonton - location, hours, and contact information",اتصل بأكاديمية عمر بن الخطاب إدمنتون - الموقع والساعات ومعلومات الاتصال,2025-11-09 17:00:19.611772+00,2025-11-09 17:00:19.611772+00
a8ea322e-ee8b-4d6c-b07d-1f5dfd6165ca,FAQs,الأسئلة الشائعة,/new-centre/faqs,,2,936ed888-db3e-467b-9aab-dca1adaf80b5,4,true,false,Common questions about the new centre,الأسئلة الشائعة حول المركز الجديد,FAQs - OIA Academy Edmonton,الأسئلة الشائعة - أكاديمية عمر بن الخطاب إدمنتون,,,2025-11-09 17:00:19.756208+00,2025-11-09 17:00:19.756208+00
aa7191f1-80a7-4e55-a103-ed88b8c75a26,Fee Structure,هيكل الرسوم,/admissions/fee-structure,,2,ffb4c1c1-c100-4593-9ac6-d09f664c9c94,3,true,false,Tuition and payment information,معلومات الرسوم الدراسية والدفع,Fee Structure - OIA Academy Edmonton,هيكل الرسوم - أكاديمية عمر بن الخطاب إدمنتون,,,2025-11-09 17:00:19.756208+00,2025-11-09 17:00:19.756208+00
b2a84644-c696-4402-9efc-e26982fb5ffd,Social Media Links,روابط وسائل التواصل الاجتماعي,/contact/social-media,,2,a470aaa5-3a13-48f3-aaa5-64b6549f408b,4,true,false,Follow us on social media,تابعنا على وسائل التواصل الاجتماعي,Social Media Links - OIA Academy Edmonton,روابط وسائل التواصل الاجتماعي - أكاديمية عمر بن الخطاب إدمنتون,,,2025-11-09 17:00:19.756208+00,2025-11-09 17:00:19.756208+00
b7cff0c6-a009-4a4e-8621-41a997e26cb7,Project Overview,نظرة عامة على المشروع,/new-centre/overview,,2,936ed888-db3e-467b-9aab-dca1adaf80b5,1,true,false,About our new facility project,حول مشروع منشأتنا الجديدة,Project Overview - OIA Academy Edmonton,نظرة عامة على المشروع - أكاديمية عمر بن الخطاب إدمنتون,,,2025-11-09 17:00:19.756208+00,2025-11-09 17:00:19.756208+00
d3198514-e675-4bfe-95b1-c6a31a4df1f1,FAQs,الأسئلة الشائعة,/admissions/faqs,,2,ffb4c1c1-c100-4593-9ac6-d09f664c9c94,4,true,false,Frequently asked questions about admissions,الأسئلة المتكررة حول القبول,FAQs - OIA Academy Edmonton,الأسئلة الشائعة - أكاديمية عمر بن الخطاب إدمنتون,,,2025-11-09 17:00:19.756208+00,2025-11-10 02:32:49.687943+00
d97a2103-6c8a-4713-bd20-45e1d2eb7dfc,News & Events,الأخبار والفعاليات,/news-events,🗞️,1,,5,true,false,Stay updated with school news and upcoming events,ابق على اطلاع بأخبار المدرسة والفعاليات القادمة,News & Events - OIA Academy Edmonton,الأخبار والفعاليات - أكاديمية عمر بن الخطاب إدمنتون,"Latest news, announcements, and upcoming events at OIA Academy",آخر الأخبار والإعلانات والفعاليات القادمة في أكاديمية عمر بن الخطاب,2025-11-09 17:00:19.611772+00,2025-11-09 17:00:19.611772+00
df5f278e-4cb3-416f-bb1c-50f7cc9ea08a,Past Events Archive,أرشيف الأحداث السابقة,/news-events/archive,,2,d97a2103-6c8a-4713-bd20-45e1d2eb7dfc,4,true,false,Browse past school events,تصفح فعاليات المدرسة السابقة,Past Events Archive - OIA Academy Edmonton,أرشيف الأحداث السابقة - أكاديمية عمر بن الخطاب إدمنتون,,,2025-11-09 17:00:19.756208+00,2025-11-09 17:00:19.756208+00
f5ba24d7-7db0-4217-8b2a-363f97c1618c,Progress Updates / Gallery,تحديثات التقدم / المعرض,/new-centre/progress,,2,936ed888-db3e-467b-9aab-dca1adaf80b5,2,true,false,Construction progress and photos,التقدم في البناء والصور,Progress Updates / Gallery - OIA Academy Edmonton,تحديثات التقدم / المعرض - أكاديمية عمر بن الخطاب إدمنتون,,,2025-11-09 17:00:19.756208+00,2025-11-09 17:00:19.756208+00
